Output format is csv.
o_orderkey,o_orderpriority
1364835,5-LOW
1364837,3-MEDIUM
1364838,1-URGENT
1364865,3-MEDIUM
1364868,4-NOT SPECIFIED
1364871,3-MEDIUM
1364896,1-URGENT
1364898,1-URGENT
1364899,4-NOT SPECIFIED
1364900,1-URGENT
1364901,2-HIGH
1364902,1-URGENT
1364932,5-LOW
1364933,1-URGENT
1364934,5-LOW
1364935,1-URGENT
1364960,1-URGENT
1364961,2-HIGH
1364964,1-URGENT
1364966,5-LOW
1364967,1-URGENT
1364994,4-NOT SPECIFIED
1364999,1-URGENT
1365024,2-HIGH
1365026,3-MEDIUM
1365027,1-URGENT
1365029,2-HIGH
1365030,5-LOW
1365031,1-URGENT
1365056,4-NOT SPECIFIED
1365061,3-MEDIUM
1365063,3-MEDIUM
1365088,1-URGENT
1365089,5-LOW
1365090,1-URGENT
1365095,3-MEDIUM
1365122,3-MEDIUM
1365125,5-LOW
1365126,1-URGENT
1365127,3-MEDIUM
1365152,1-URGENT
1365155,4-NOT SPECIFIED
1365158,1-URGENT
1365159,2-HIGH
1365184,4-NOT SPECIFIED
1365187,3-MEDIUM
1365188,1-URGENT
1365189,4-NOT SPECIFIED
1365190,2-HIGH
1365191,1-URGENT
1365217,1-URGENT
1365219,4-NOT SPECIFIED
1365220,4-NOT SPECIFIED
1365222,3-MEDIUM
1365223,1-URGENT
1365249,1-URGENT
1365250,1-URGENT
1365251,3-MEDIUM
1365252,2-HIGH
1365254,3-MEDIUM
1365280,1-URGENT
1365281,1-URGENT
1365282,1-URGENT
1365283,1-URGENT
1365285,4-NOT SPECIFIED
1365286,1-URGENT
1365312,1-URGENT
1365313,5-LOW
1365315,3-MEDIUM
1365316,1-URGENT
1365317,1-URGENT
1365319,3-MEDIUM
1365344,1-URGENT
1365347,2-HIGH
1365348,1-URGENT
1365350,4-NOT SPECIFIED
1365376,5-LOW
1365377,5-LOW
1365379,3-MEDIUM
1365380,1-URGENT
1365381,5-LOW
1365382,4-NOT SPECIFIED
1365383,2-HIGH
1365408,1-URGENT
1365410,2-HIGH
1365411,2-HIGH
1365413,4-NOT SPECIFIED
1365414,1-URGENT
1365415,4-NOT SPECIFIED
1365441,1-URGENT
1365442,3-MEDIUM
1365445,4-NOT SPECIFIED
1365474,4-NOT SPECIFIED
1365475,2-HIGH
1365477,1-URGENT
1365479,5-LOW
1365504,1-URGENT
1365508,5-LOW
1365509,1-URGENT
1365511,1-URGENT
1365536,1-URGENT
1365537,2-HIGH
1365538,3-MEDIUM
1365539,4-NOT SPECIFIED
1365540,1-URGENT
1365541,5-LOW
1365542,1-URGENT
1365568,2-HIGH
1365569,2-HIGH
1365570,4-NOT SPECIFIED
1365571,3-MEDIUM
1365574,2-HIGH
1365600,4-NOT SPECIFIED
1365601,1-URGENT
1365603,3-MEDIUM
1365605,1-URGENT
1365606,1-URGENT
1365632,5-LOW
1365634,5-LOW
1365637,1-URGENT
1365638,3-MEDIUM
1365665,5-LOW
1365666,4-NOT SPECIFIED
1365667,5-LOW
1365669,3-MEDIUM
1365670,1-URGENT
1365671,1-URGENT
1365697,3-MEDIUM
1365700,4-NOT SPECIFIED
1365702,1-URGENT
1365703,1-URGENT
1365729,1-URGENT
1365730,2-HIGH
1365732,4-NOT SPECIFIED
1365761,1-URGENT
1365762,3-MEDIUM
1365763,5-LOW
1365766,1-URGENT
1365792,5-LOW
1365793,1-URGENT
1365794,4-NOT SPECIFIED
1365795,2-HIGH
1365797,1-URGENT
1365798,2-HIGH
1365799,1-URGENT
1365824,5-LOW
1365825,5-LOW
1365826,4-NOT SPECIFIED
1365827,1-URGENT
1365829,5-LOW
1365830,3-MEDIUM
1365831,2-HIGH
1365856,4-NOT SPECIFIED
1365857,5-LOW
1365859,3-MEDIUM
1365888,5-LOW
1365889,5-LOW
1365894,1-URGENT
1365895,4-NOT SPECIFIED
1365923,1-URGENT
1365924,4-NOT SPECIFIED
1365925,4-NOT SPECIFIED
1365926,1-URGENT
1365927,2-HIGH
1365954,5-LOW
1365955,1-URGENT
1365957,2-HIGH
1365984,1-URGENT
1365985,4-NOT SPECIFIED
1365987,4-NOT SPECIFIED
1365988,1-URGENT
1365989,3-MEDIUM
1365990,1-URGENT
1366017,3-MEDIUM
1366018,1-URGENT
1366019,3-MEDIUM
1366020,3-MEDIUM
1366021,3-MEDIUM
1366049,3-MEDIUM
1366051,5-LOW
1366052,4-NOT SPECIFIED
1366053,3-MEDIUM
1366054,1-URGENT
1366055,1-URGENT
1366080,4-NOT SPECIFIED
1366081,1-URGENT
1366082,1-URGENT
1366083,1-URGENT
1366084,1-URGENT
1366086,3-MEDIUM
1366087,1-URGENT
1366115,1-URGENT
1366116,4-NOT SPECIFIED
1366149,1-URGENT
1366150,2-HIGH
1366177,1-URGENT
1366179,4-NOT SPECIFIED
1366181,2-HIGH
1366182,3-MEDIUM
1366208,1-URGENT
1366209,1-URGENT
1366212,2-HIGH
1366215,4-NOT SPECIFIED
1366241,1-URGENT
1366243,1-URGENT
1366244,3-MEDIUM
1366246,3-MEDIUM
1366272,4-NOT SPECIFIED
1366275,3-MEDIUM
1366276,5-LOW
1366278,1-URGENT
1366279,3-MEDIUM
1366304,3-MEDIUM
1366305,2-HIGH
1366306,5-LOW
1366307,4-NOT SPECIFIED
1366308,1-URGENT
1366309,3-MEDIUM
1366311,3-MEDIUM
1366336,2-HIGH
1366339,5-LOW
1366340,3-MEDIUM
1366341,5-LOW
1366342,2-HIGH
1366343,3-MEDIUM
1366368,1-URGENT
1366369,5-LOW
1366370,2-HIGH
1366371,2-HIGH
1366372,2-HIGH
1366373,1-URGENT
1366401,3-MEDIUM
1366402,2-HIGH
1366406,1-URGENT
1366432,1-URGENT
1366434,4-NOT SPECIFIED
1366435,5-LOW
1366436,2-HIGH
1366438,1-URGENT
1366439,1-URGENT
1366465,1-URGENT
1366466,4-NOT SPECIFIED
1366468,1-URGENT
1366498,3-MEDIUM
1366500,3-MEDIUM
1366501,3-MEDIUM
1366502,1-URGENT
1366503,1-URGENT
1366528,3-MEDIUM
1366529,1-URGENT
1366531,3-MEDIUM
1366533,5-LOW
1366534,3-MEDIUM
1366561,3-MEDIUM
1366562,5-LOW
1366564,1-URGENT
1366565,4-NOT SPECIFIED
1366592,1-URGENT
1366595,5-LOW
1366596,1-URGENT
1366597,1-URGENT
1366599,3-MEDIUM
1366625,5-LOW
1366626,1-URGENT
1366627,1-URGENT
1366629,1-URGENT
1366630,1-URGENT
1366656,1-URGENT
1366659,3-MEDIUM
1366660,2-HIGH
1366661,5-LOW
1366663,5-LOW
1366688,1-URGENT
1366694,2-HIGH
1366695,1-URGENT
1366720,5-LOW
1366724,2-HIGH
1366725,3-MEDIUM
1366726,4-NOT SPECIFIED
1366727,5-LOW
1366753,3-MEDIUM
1366755,3-MEDIUM
1366756,2-HIGH
1366758,5-LOW
1366759,2-HIGH
1366785,5-LOW
1366789,5-LOW
1366816,1-URGENT
1366819,5-LOW
1366820,2-HIGH
1366822,1-URGENT
1366823,3-MEDIUM
1366848,2-HIGH
1366849,5-LOW
1366852,3-MEDIUM
1366854,2-HIGH
1366855,4-NOT SPECIFIED
1366881,4-NOT SPECIFIED
1366882,2-HIGH
1366883,5-LOW
1366885,1-URGENT
1366887,1-URGENT
1366913,4-NOT SPECIFIED
1366914,4-NOT SPECIFIED
1366915,1-URGENT
1366917,4-NOT SPECIFIED
1366918,5-LOW
1366919,1-URGENT
1366944,3-MEDIUM
1366948,5-LOW
1366949,5-LOW
1366978,1-URGENT
1366979,4-NOT SPECIFIED
1366980,5-LOW
1366982,5-LOW
1366983,5-LOW
1367008,2-HIGH
1367010,5-LOW
1367011,5-LOW
1367012,4-NOT SPECIFIED
1367013,1-URGENT
1367040,3-MEDIUM
1367044,1-URGENT
1367045,2-HIGH
1367046,3-MEDIUM
1367074,1-URGENT
1367077,5-LOW
1367078,1-URGENT
1367079,5-LOW
1367105,1-URGENT
1367106,1-URGENT
1367108,1-URGENT
1367109,1-URGENT
1367110,1-URGENT
1367111,4-NOT SPECIFIED
1367136,1-URGENT
1367137,1-URGENT
1367138,2-HIGH
1367139,2-HIGH
1367140,1-URGENT
1367142,3-MEDIUM
1367143,2-HIGH
1367169,2-HIGH
1367170,3-MEDIUM
1367171,2-HIGH
1367172,1-URGENT
1367173,4-NOT SPECIFIED
1367175,1-URGENT
1367201,5-LOW
1367202,5-LOW
1367203,3-MEDIUM
1367205,5-LOW
1367206,2-HIGH
1367207,4-NOT SPECIFIED
1367232,1-URGENT
1367233,4-NOT SPECIFIED
1367235,5-LOW
1367237,2-HIGH
1367239,3-MEDIUM
1367266,3-MEDIUM
1367267,3-MEDIUM
1367269,5-LOW
1367270,5-LOW
1367271,4-NOT SPECIFIED
1367296,3-MEDIUM
1367297,4-NOT SPECIFIED
1367298,1-URGENT
1367299,1-URGENT
1367300,3-MEDIUM
1367301,1-URGENT
1367331,4-NOT SPECIFIED
1367332,4-NOT SPECIFIED
1367333,3-MEDIUM
1367334,4-NOT SPECIFIED
1367335,2-HIGH
1367362,5-LOW
1367363,3-MEDIUM
1367364,4-NOT SPECIFIED
1367367,3-MEDIUM
1367393,1-URGENT
1367394,5-LOW
1367395,1-URGENT
1367396,1-URGENT
1367424,1-URGENT
1367425,2-HIGH
1367426,4-NOT SPECIFIED
1367427,3-MEDIUM
1367430,4-NOT SPECIFIED
1367456,2-HIGH
1367457,5-LOW
1367459,1-URGENT
1367460,1-URGENT
1367461,1-URGENT
1367462,1-URGENT
1367488,5-LOW
1367490,5-LOW
1367491,1-URGENT
1367492,1-URGENT
1367494,3-MEDIUM
1367495,1-URGENT
1367522,4-NOT SPECIFIED
1367525,3-MEDIUM
1367527,2-HIGH
1367553,4-NOT SPECIFIED
1367554,1-URGENT
1367555,2-HIGH
1367557,1-URGENT
1367558,4-NOT SPECIFIED
1367584,1-URGENT
1367585,4-NOT SPECIFIED
1367588,1-URGENT
1367590,5-LOW
1367591,3-MEDIUM
1367616,4-NOT SPECIFIED
1367619,3-MEDIUM
1367620,1-URGENT
1367648,3-MEDIUM
1367650,3-MEDIUM
1367651,2-HIGH
1367652,1-URGENT
1367654,2-HIGH
1367655,4-NOT SPECIFIED
1367684,3-MEDIUM
1367685,3-MEDIUM
1367686,4-NOT SPECIFIED
1367687,5-LOW
1367712,4-NOT SPECIFIED
1367715,3-MEDIUM
1367718,2-HIGH
1367719,1-URGENT
1367744,4-NOT SPECIFIED
1367747,5-LOW
1367748,1-URGENT
1367749,4-NOT SPECIFIED
1367750,1-URGENT
1367751,1-URGENT
1367777,4-NOT SPECIFIED
1367778,1-URGENT
1367780,1-URGENT
1367781,4-NOT SPECIFIED
1367782,2-HIGH
1367783,1-URGENT
1367808,3-MEDIUM
1367809,4-NOT SPECIFIED
1367810,2-HIGH
1367811,5-LOW
1367812,1-URGENT
1367813,5-LOW
1367841,2-HIGH
1367842,1-URGENT
1367843,4-NOT SPECIFIED
1367845,3-MEDIUM
1367846,2-HIGH
1367847,3-MEDIUM
1367877,1-URGENT
1367904,1-URGENT
1367906,1-URGENT
1367907,4-NOT SPECIFIED
1367909,1-URGENT
1367910,1-URGENT
1367911,5-LOW
1367938,1-URGENT
1367940,1-URGENT
1367943,4-NOT SPECIFIED
1367968,2-HIGH
1367972,4-NOT SPECIFIED
1367975,1-URGENT
1368002,4-NOT SPECIFIED
1368004,1-URGENT
1368005,3-MEDIUM
1368006,2-HIGH
1368032,1-URGENT
1368033,1-URGENT
1368034,1-URGENT
1368035,1-URGENT
1368036,2-HIGH
1368037,1-URGENT
1368039,2-HIGH
1368065,4-NOT SPECIFIED
1368066,4-NOT SPECIFIED
1368067,1-URGENT
1368069,5-LOW
1368096,1-URGENT
1368097,1-URGENT
1368098,5-LOW
1368099,3-MEDIUM
1368100,3-MEDIUM
1368102,1-URGENT
1368128,1-URGENT
1368130,2-HIGH
1368132,5-LOW
1368134,1-URGENT
1368161,5-LOW
1368162,2-HIGH
1368164,5-LOW
1368165,1-URGENT
1368192,1-URGENT
1368195,1-URGENT
1368196,1-URGENT
1368199,1-URGENT
1368230,1-URGENT
1368231,5-LOW
1368260,5-LOW
1368262,2-HIGH
1368263,1-URGENT
1368288,1-URGENT
1368289,1-URGENT
1368291,1-URGENT
1368292,1-URGENT
1368294,5-LOW
1368320,2-HIGH
1368321,5-LOW
1368322,3-MEDIUM
1368324,5-LOW
1368325,2-HIGH
1368326,5-LOW
1368327,1-URGENT
1368352,3-MEDIUM
1368353,1-URGENT
1368355,5-LOW
1368356,1-URGENT
1368357,1-URGENT
1368358,2-HIGH
1368359,5-LOW
1368385,4-NOT SPECIFIED
1368386,4-NOT SPECIFIED
1368388,3-MEDIUM
1368389,3-MEDIUM
1368391,2-HIGH
1368417,2-HIGH
1368418,1-URGENT
1368419,5-LOW
1368420,1-URGENT
1368421,4-NOT SPECIFIED
1368422,1-URGENT
1368423,4-NOT SPECIFIED
1368449,3-MEDIUM
1368451,1-URGENT
1368452,5-LOW
1368453,1-URGENT
1368454,2-HIGH
1368482,4-NOT SPECIFIED
1368483,2-HIGH
1368484,5-LOW
1368485,5-LOW
1368486,2-HIGH
1368513,5-LOW
1368515,2-HIGH
1368517,1-URGENT
1368518,1-URGENT
1368519,5-LOW
1368544,4-NOT SPECIFIED
1368545,3-MEDIUM
1368548,3-MEDIUM
1368549,3-MEDIUM
1368550,1-URGENT
1368576,5-LOW
1368582,4-NOT SPECIFIED
1368583,4-NOT SPECIFIED
1368608,1-URGENT
1368610,5-LOW
1368611,3-MEDIUM
1368613,2-HIGH
1368614,5-LOW
1368615,2-HIGH
1368640,4-NOT SPECIFIED
1368641,2-HIGH
1368642,4-NOT SPECIFIED
1368644,1-URGENT
1368645,5-LOW
1368646,5-LOW
1368674,2-HIGH
1368675,3-MEDIUM
1368676,2-HIGH
1368704,1-URGENT
1368706,1-URGENT
1368707,5-LOW
1368708,1-URGENT
1368711,1-URGENT
1368738,1-URGENT
1368740,1-URGENT
1368741,4-NOT SPECIFIED
1368742,1-URGENT
1368743,5-LOW
1368768,1-URGENT
1368770,5-LOW
1368773,5-LOW
1368774,3-MEDIUM
1368775,5-LOW
1368800,1-URGENT
1368801,3-MEDIUM
1368803,2-HIGH
1368804,2-HIGH
1368833,3-MEDIUM
1368834,2-HIGH
1368838,1-URGENT
1368839,2-HIGH
1368864,5-LOW
1368865,4-NOT SPECIFIED
1368870,1-URGENT
1368871,4-NOT SPECIFIED
1368897,5-LOW
1368901,1-URGENT
1368902,1-URGENT
1368928,1-URGENT
1368929,3-MEDIUM
1368930,1-URGENT
1368932,1-URGENT
1368933,1-URGENT
1368934,1-URGENT
1368935,5-LOW
1368960,3-MEDIUM
1368961,3-MEDIUM
1368962,1-URGENT
1368964,4-NOT SPECIFIED
1368965,2-HIGH
1368966,1-URGENT
1368967,3-MEDIUM
1368992,3-MEDIUM
1368994,4-NOT SPECIFIED
1368999,5-LOW
1369024,1-URGENT
1369025,4-NOT SPECIFIED
1369028,2-HIGH
1369031,3-MEDIUM
1369056,4-NOT SPECIFIED
1369057,1-URGENT
1369061,5-LOW
1369062,2-HIGH
1369089,2-HIGH
1369091,4-NOT SPECIFIED
1369093,5-LOW
1369120,1-URGENT
1369121,5-LOW
1369124,4-NOT SPECIFIED
1369127,2-HIGH
1369153,1-URGENT
1369157,2-HIGH
1369159,2-HIGH
1369184,1-URGENT
1369185,1-URGENT
1369189,2-HIGH
1369190,2-HIGH
1369191,2-HIGH
1369217,5-LOW
1369218,5-LOW
1369220,2-HIGH
1369221,1-URGENT
1369222,5-LOW
1369223,3-MEDIUM
1369248,1-URGENT
1369249,1-URGENT
1369250,3-MEDIUM
1369252,3-MEDIUM
1369253,2-HIGH
1369254,1-URGENT
1369281,3-MEDIUM
1369282,5-LOW
1369283,2-HIGH
1369284,1-URGENT
1369312,5-LOW
1369313,1-URGENT
1369314,3-MEDIUM
1369315,1-URGENT
1369319,2-HIGH
1369345,2-HIGH
1369346,2-HIGH
1369348,4-NOT SPECIFIED
1369351,4-NOT SPECIFIED
1369378,4-NOT SPECIFIED
1369379,5-LOW
1369380,1-URGENT
1369381,4-NOT SPECIFIED
1369383,3-MEDIUM
1369408,1-URGENT
1369410,1-URGENT
1369413,5-LOW
1369414,3-MEDIUM
1369441,3-MEDIUM
1369442,3-MEDIUM
1369443,3-MEDIUM
1369445,1-URGENT
1369472,1-URGENT
1369473,5-LOW
1369474,2-HIGH
1369477,3-MEDIUM
1369505,2-HIGH
1369507,4-NOT SPECIFIED
1369508,4-NOT SPECIFIED
1369509,2-HIGH
1369510,4-NOT SPECIFIED
1369511,1-URGENT
1369539,5-LOW
1369541,1-URGENT
1369542,1-URGENT
1369572,1-URGENT
1369573,3-MEDIUM
1369574,5-LOW
1369575,1-URGENT
1369600,1-URGENT
1369605,1-URGENT
1369606,3-MEDIUM
1369632,1-URGENT
1369633,2-HIGH
1369635,4-NOT SPECIFIED
1369637,3-MEDIUM
1369667,1-URGENT
1369668,5-LOW
1369669,4-NOT SPECIFIED
1369670,5-LOW
1369671,4-NOT SPECIFIED
1369697,1-URGENT
1369698,4-NOT SPECIFIED
1369699,5-LOW
1369701,1-URGENT
1369702,1-URGENT
1369703,1-URGENT
1369729,2-HIGH
1369733,1-URGENT
1369734,1-URGENT
1369760,4-NOT SPECIFIED
1369761,2-HIGH
1369763,1-URGENT
1369764,3-MEDIUM
1369765,1-URGENT
1369792,1-URGENT
1369794,2-HIGH
1369798,1-URGENT
1369824,1-URGENT
1369825,1-URGENT
1369826,1-URGENT
1369828,4-NOT SPECIFIED
1369830,3-MEDIUM
1369857,4-NOT SPECIFIED
1369859,1-URGENT
1369861,2-HIGH
1369888,1-URGENT
1369889,5-LOW
1369890,4-NOT SPECIFIED
1369891,2-HIGH
1369893,1-URGENT
1369894,5-LOW
1369895,2-HIGH
1369921,1-URGENT
1369924,5-LOW
1369926,5-LOW
1369927,3-MEDIUM
1369955,5-LOW
1369958,4-NOT SPECIFIED
1369959,3-MEDIUM
1369984,1-URGENT
1369987,1-URGENT
1369991,4-NOT SPECIFIED
1370017,5-LOW
1370018,4-NOT SPECIFIED
1370021,1-URGENT
1370022,5-LOW
1370023,4-NOT SPECIFIED
1370048,3-MEDIUM
1370050,4-NOT SPECIFIED
1370051,1-URGENT
1370053,1-URGENT
1370055,1-URGENT
1370082,3-MEDIUM
1370084,1-URGENT
1370085,2-HIGH
1370115,1-URGENT
1370118,1-URGENT
1370119,3-MEDIUM
1370144,3-MEDIUM
1370148,3-MEDIUM
1370151,3-MEDIUM
1370176,5-LOW
1370177,3-MEDIUM
1370178,1-URGENT
1370180,1-URGENT
1370181,3-MEDIUM
1370209,3-MEDIUM
1370210,1-URGENT
1370213,1-URGENT
1370215,3-MEDIUM
1370240,2-HIGH
1370243,1-URGENT
1370246,1-URGENT
1370247,2-HIGH
1370272,1-URGENT
1370274,1-URGENT
1370275,1-URGENT
1370277,4-NOT SPECIFIED
1370279,3-MEDIUM
1370305,1-URGENT
1370336,4-NOT SPECIFIED
1370341,3-MEDIUM
1370342,5-LOW
1370368,1-URGENT
1370369,1-URGENT
1370372,1-URGENT
1370374,2-HIGH
1370375,5-LOW
1370403,2-HIGH
1370404,5-LOW
1370405,5-LOW
1370432,3-MEDIUM
1370433,4-NOT SPECIFIED
1370437,1-URGENT
1370439,1-URGENT
1370464,1-URGENT
1370466,1-URGENT
1370467,1-URGENT
1370469,4-NOT SPECIFIED
1370496,1-URGENT
1370499,4-NOT SPECIFIED
1370502,2-HIGH
1370529,1-URGENT
1370533,4-NOT SPECIFIED
1370534,3-MEDIUM
1370535,2-HIGH
1370560,1-URGENT
1370561,5-LOW
1370562,4-NOT SPECIFIED
1370564,2-HIGH
1370565,3-MEDIUM
1370567,5-LOW
1370593,1-URGENT
1370595,5-LOW
1370596,2-HIGH
1370597,1-URGENT
1370598,4-NOT SPECIFIED
1370599,1-URGENT
1370624,4-NOT SPECIFIED
1370625,4-NOT SPECIFIED
1370626,2-HIGH
1370627,4-NOT SPECIFIED
1370630,4-NOT SPECIFIED
1370631,5-LOW
1370656,2-HIGH
1370658,4-NOT SPECIFIED
1370662,1-URGENT
1370663,1-URGENT
1370689,1-URGENT
1370691,2-HIGH
1370692,5-LOW
1370695,4-NOT SPECIFIED
1370720,1-URGENT
1370722,1-URGENT
1370723,2-HIGH
1370726,2-HIGH
1370727,1-URGENT
1370752,2-HIGH
1370753,4-NOT SPECIFIED
1370757,2-HIGH
1370758,3-MEDIUM
1370759,3-MEDIUM
1370784,1-URGENT
1370785,5-LOW
1370788,2-HIGH
1370790,3-MEDIUM
1370791,1-URGENT
1370816,1-URGENT
1370817,4-NOT SPECIFIED
1370818,2-HIGH
1370820,2-HIGH
1370821,3-MEDIUM
1370849,1-URGENT
1370850,2-HIGH
1370852,4-NOT SPECIFIED
1370855,4-NOT SPECIFIED
1370880,5-LOW
1370881,4-NOT SPECIFIED
1370882,5-LOW
1370883,2-HIGH
1370885,3-MEDIUM
1370915,5-LOW
1370916,2-HIGH
1370918,4-NOT SPECIFIED
1370919,4-NOT SPECIFIED
1370944,5-LOW
1370945,1-URGENT
1370946,1-URGENT
1370950,5-LOW
1370978,1-URGENT
1370981,3-MEDIUM
1370982,2-HIGH
1370983,1-URGENT
1371008,4-NOT SPECIFIED
1371009,5-LOW
1371011,3-MEDIUM
1371012,1-URGENT
1371013,2-HIGH
1371040,1-URGENT
1371043,3-MEDIUM
1371046,4-NOT SPECIFIED
1371047,2-HIGH
1371074,1-URGENT
1371075,4-NOT SPECIFIED
1371076,2-HIGH
1371077,2-HIGH
1371079,5-LOW
1371104,2-HIGH
1371105,5-LOW
1371110,1-URGENT
1371139,5-LOW
1371140,3-MEDIUM
1371141,1-URGENT
1371143,1-URGENT
1371168,3-MEDIUM
1371169,2-HIGH
1371170,3-MEDIUM
1371175,2-HIGH
1371201,5-LOW
1371206,1-URGENT
1371207,4-NOT SPECIFIED
1371233,2-HIGH
1371235,2-HIGH
1371236,5-LOW
1371238,5-LOW
1371239,2-HIGH
1371264,1-URGENT
1371266,5-LOW
1371267,1-URGENT
1371268,5-LOW
1371270,3-MEDIUM
1371271,2-HIGH
1371298,1-URGENT
1371300,5-LOW
1371301,4-NOT SPECIFIED
1371302,1-URGENT
1371303,1-URGENT
1371329,1-URGENT
1371330,2-HIGH
1371334,3-MEDIUM
1371335,1-URGENT
1371360,3-MEDIUM
1371361,2-HIGH
1371362,4-NOT SPECIFIED
1371364,2-HIGH
1371365,4-NOT SPECIFIED
1371393,5-LOW
1371394,3-MEDIUM
1371396,5-LOW
1371398,2-HIGH
1371399,5-LOW
1371428,1-URGENT
1371429,3-MEDIUM
1371456,5-LOW
1371457,3-MEDIUM
1371458,4-NOT SPECIFIED
1371459,5-LOW
1371461,2-HIGH
1371463,3-MEDIUM
1371489,1-URGENT
1371490,1-URGENT
1371491,1-URGENT
1371495,1-URGENT
1371521,1-URGENT
1371524,2-HIGH
1371525,5-LOW
1371526,5-LOW
1371527,1-URGENT
1371554,1-URGENT
1371555,5-LOW
1371556,1-URGENT
1371558,5-LOW
1371584,1-URGENT
1371585,2-HIGH
1371587,1-URGENT
1371589,2-HIGH
1371590,5-LOW
1371591,2-HIGH
1371617,5-LOW
1371620,1-URGENT
1371621,5-LOW
1371622,1-URGENT
1371623,2-HIGH
1371651,4-NOT SPECIFIED
1371652,5-LOW
1371653,2-HIGH
1371655,1-URGENT
1371680,4-NOT SPECIFIED
1371681,5-LOW
1371682,4-NOT SPECIFIED
1371686,4-NOT SPECIFIED
1371687,3-MEDIUM
1371712,3-MEDIUM
1371713,1-URGENT
1371714,1-URGENT
1371715,5-LOW
1371717,3-MEDIUM
1371719,1-URGENT
1371745,1-URGENT
1371746,4-NOT SPECIFIED
1371748,4-NOT SPECIFIED
1371749,2-HIGH
1371750,3-MEDIUM
1371751,1-URGENT
1371778,4-NOT SPECIFIED
1371779,1-URGENT
1371780,1-URGENT
1371781,1-URGENT
1371783,1-URGENT
1371808,1-URGENT
1371810,1-URGENT
1371811,1-URGENT
1371815,5-LOW
1371844,3-MEDIUM
1371845,1-URGENT
1371847,5-LOW
1371872,3-MEDIUM
1371873,1-URGENT
1371874,4-NOT SPECIFIED
1371879,1-URGENT
1371905,2-HIGH
1371908,3-MEDIUM
1371909,1-URGENT
1371910,2-HIGH
1371937,5-LOW
1371939,2-HIGH
1371940,1-URGENT
1371941,1-URGENT
1371943,1-URGENT
1371968,4-NOT SPECIFIED
1371970,3-MEDIUM
1371971,1-URGENT
1371972,3-MEDIUM
1371974,1-URGENT
1371975,4-NOT SPECIFIED
1372002,3-MEDIUM
1372004,1-URGENT
1372032,5-LOW
1372034,3-MEDIUM
1372035,4-NOT SPECIFIED
1372036,1-URGENT
1372037,5-LOW
1372038,1-URGENT
1372039,4-NOT SPECIFIED
1372068,2-HIGH
1372096,1-URGENT
1372098,1-URGENT
1372100,5-LOW
1372101,3-MEDIUM
1372128,1-URGENT
1372129,3-MEDIUM
1372130,1-URGENT
1372131,3-MEDIUM
1372132,2-HIGH
1372133,5-LOW
1372134,5-LOW
1372135,2-HIGH
1372160,2-HIGH
1372161,1-URGENT
1372162,1-URGENT
1372164,3-MEDIUM
1372165,2-HIGH
1372166,3-MEDIUM
1372167,5-LOW
1372193,4-NOT SPECIFIED
1372195,1-URGENT
1372196,4-NOT SPECIFIED
1372198,3-MEDIUM
1372199,5-LOW
1372224,1-URGENT
1372225,1-URGENT
1372226,1-URGENT
1372227,1-URGENT
1372228,3-MEDIUM
1372230,1-URGENT
1372231,3-MEDIUM
1372256,2-HIGH
1372257,3-MEDIUM
1372258,5-LOW
1372259,2-HIGH
1372262,3-MEDIUM
1372288,2-HIGH
1372289,2-HIGH
1372290,3-MEDIUM
1372291,4-NOT SPECIFIED
1372292,5-LOW
1372293,3-MEDIUM
1372294,1-URGENT
1372322,1-URGENT
1372323,1-URGENT
1372324,1-URGENT
1372326,1-URGENT
1372327,1-URGENT
1372352,2-HIGH
1372353,5-LOW
1372354,4-NOT SPECIFIED
1372355,1-URGENT
1372356,4-NOT SPECIFIED
1372357,1-URGENT
1372358,4-NOT SPECIFIED
1372359,4-NOT SPECIFIED
1372385,4-NOT SPECIFIED
1372387,5-LOW
1372388,4-NOT SPECIFIED
1372389,1-URGENT
1372390,3-MEDIUM
1372417,2-HIGH
1372419,4-NOT SPECIFIED
1372420,2-HIGH
1372421,5-LOW
1372423,4-NOT SPECIFIED
1372448,1-URGENT
1372450,4-NOT SPECIFIED
1372451,1-URGENT
1372454,5-LOW
1372480,2-HIGH
1372487,5-LOW
1372513,1-URGENT
1372515,1-URGENT
1372518,1-URGENT
1372544,5-LOW
1372546,2-HIGH
1372548,1-URGENT
1372551,1-URGENT
1372576,5-LOW
1372577,1-URGENT
1372578,4-NOT SPECIFIED
1372579,2-HIGH
1372581,1-URGENT
1372583,2-HIGH
1372610,2-HIGH
1372613,4-NOT SPECIFIED
1372614,1-URGENT
1372615,2-HIGH
1372641,1-URGENT
1372642,1-URGENT
1372643,1-URGENT
1372646,3-MEDIUM
1372672,1-URGENT
1372675,3-MEDIUM
1372676,2-HIGH
1372677,3-MEDIUM
1372679,2-HIGH
1372705,1-URGENT
1372706,5-LOW
1372711,5-LOW
1372738,1-URGENT
1372739,3-MEDIUM
1372740,1-URGENT
1372743,3-MEDIUM
1372768,3-MEDIUM
1372769,4-NOT SPECIFIED
1372771,4-NOT SPECIFIED
1372772,4-NOT SPECIFIED
1372773,4-NOT SPECIFIED
1372774,5-LOW
1372775,1-URGENT
1372800,2-HIGH
1372801,4-NOT SPECIFIED
1372802,1-URGENT
1372807,1-URGENT
1372833,1-URGENT
1372837,1-URGENT
1372866,3-MEDIUM
